Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,8232,0.01657028,0.173914517,0.023739764,0.822345139,2.523959572,3.560529273,-708.9364471
2025,12,0.01657028,0.173914517,0.023739761,0.822344177,2.523959572,3.560528307,-708.9366188
2026,12,0.01657028,0.173914517,0.023739758,0.822343233,2.523959572,3.56052736,-708.9367873
2027,12,0.01657028,0.173914517,0.023739754,0.822342307,2.523959572,3.560526431,-708.9369525
2028,12,0.01657028,0.173914517,0.023739751,0.822341398,2.523959572,3.560525519,-708.9371146
2029,12,0.01657028,0.173914517,0.023739748,0.822340507,2.523959572,3.560524625,-708.9372736
2030,12,0.01657028,0.173914517,0.023739745,0.822339632,2.523959572,3.560523747,-708.9374296
2031,12,0.01657028,0.173914517,0.023739742,0.822338774,2.523959572,3.560522886,-708.9375825
2032,12,0.01657028,0.173914517,0.023739739,0.822337932,2.523959572,3.560522041,-708.9377326
2033,12,0.01657028,0.173914517,0.023739736,0.822337107,2.523959572,3.560521213,-708.9378798
2034,12,0.01657028,0.173914517,0.023739733,0.822336296,2.523959572,3.560520399,-708.9380242
2035,12,0.01657028,0.173914517,0.023739731,0.822335501,2.523959572,3.560519602,-708.9381659
2036,12,0.01657028,0.173914517,0.023739728,0.822334721,2.523959572,3.560518819,-708.9383048
2037,12,0.01657028,0.173914517,0.023739725,0.822333956,2.523959572,3.560518051,-708.9384411
2038,12,0.01657028,0.173914517,0.023739722,0.822333206,2.523959572,3.560517298,-708.9385748
2039,12,0.01657028,0.173914517,0.02373972,0.822332469,2.523959572,3.560516559,-708.9387059
2040,12,0.01657028,0.173914517,0.023739717,0.822331746,2.523959572,3.560515834,-708.9388346
2041,12,0.01657028,0.173914517,0.023739715,0.822331037,2.523959572,3.560515122,-708.9389607
2042,12,0.01657028,0.173914517,0.023739712,0.822330342,2.523959572,3.560514424,-708.9390845
2043,12,0.01657028,0.173914517,0.02373971,0.82232966,2.523959572,3.56051374,-708.9392059
2044,12,0.01657028,0.173914517,0.023739708,0.82232899,2.523959572,3.560513068,-708.939325
2045,12,0.01657028,0.173914517,0.023739705,0.822328333,2.523959572,3.560512409,-708.9394418
2046,12,0.01657028,0.173914517,0.023739703,0.822327689,2.523959572,3.560511762,-708.9395564
2047,12,0.01657028,0.173914517,0.023739701,0.822327057,2.523959572,3.560511127,-708.9396688
2048,12,0.01657028,0.173914517,0.023739699,0.822326436,2.523959572,3.560510505,-708.9397791
2049,12,0.01657028,0.173914517,0.023739697,0.822325828,2.523959572,3.560509894,-708.9398873
2050,12,0.01657028,0.173914517,0.023739695,0.822325231,2.523959572,3.560509295,-708.9399934
2051,12,0.01657028,0.173914517,0.023739693,0.822324645,2.523959572,3.560508707,-708.9400974
2052,12,0.01657028,0.173914517,0.023739691,0.82232407,2.523959572,3.560508131,-708.9401995
2053,12,0.01657028,0.173914517,0.023739689,0.822323506,2.523959572,3.560507565,-708.9402997
2054,12,0.01657028,0.173914517,0.023739687,0.822322953,2.523959572,3.56050701,-708.9403979
2055,12,0.01657028,0.173914517,0.023739685,0.82232241,2.523959572,3.560506465,-708.9404942
2056,12,0.01657028,0.173914517,0.023739683,0.822321878,2.523959572,3.560505931,-708.9405888
2057,12,0.01657028,0.173914517,0.023739681,0.822321355,2.523959572,3.560505406,-708.9406815
2058,12,0.01657028,0.173914517,0.023739679,0.822320843,2.523959572,3.560504892,-708.9407724
2059,12,0.01657028,0.173914517,0.023739678,0.82232034,2.523959572,3.560504387,-708.9408616
2060,12,0.01657028,0.173914517,0.023739676,0.822319847,2.523959572,3.560503892,-708.9409491
2061,12,0.01657028,0.173914517,0.023739674,0.822319363,2.523959572,3.560503407,-708.941035
2062,12,0.01657028,0.173914517,0.023739672,0.822318888,2.523959572,3.56050293,-708.9411192
2063,12,0.01657028,0.173914517,0.023739671,0.822318422,2.523959572,3.560502463,-708.9412018
2064,12,0.01657028,0.173914517,0.023739669,0.822317965,2.523959572,3.560502004,-708.9412828
2065,12,0.01657028,0.173914517,0.023739668,0.822317516,2.523959572,3.560501554,-708.9413622
