Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,8232,0.01657028033159487,0.1739145171267178,0.023739764209177956,0.8223451386891293,2.523959572409693,3.560529272766313,-708.9364470630362
2024,12,0.00023400985925836748,0.1492819246969269,0.022518834523668752,0.8199447817274291,2.523959572409693,3.515939123216976,-717.9119515678743
2025,12,0.01656998228331967,0.12763776976307567,0.017945546883238402,0.80684303258929,2.523959572409693,3.4929559039286167,-722.6054871874663
2026,12,0.0165702803262339,0.14057099022206898,0.019742601108581906,0.8052928396533411,2.523959572409693,3.506136283719919,-719.8889845590413
2027,12,0.016570280331594776,0.14988969149010592,0.020943219654303114,0.8042986622262427,2.523959572409693,3.5156614261119397,-717.9388633265542
2028,12,0.01657028033159487,0.15660404338708678,0.021759223364163558,0.8036971173680764,2.523959572409693,3.522590236860615,-716.527175827579
2029,12,0.01657028033159487,0.1614418979442581,0.02232169985897264,0.8033733534483452,2.523959572409693,3.527666803992864,-715.4965675687029
2030,12,0.01657028033159487,0.16492769032979973,0.022713833883486013,0.8032461223748995,2.523959572409693,3.531417499329473,-714.7371625638019
2031,12,0.01657028033159487,0.16743928889306967,0.022989673252203465,0.8032576874295233,2.523959572409693,3.5342165023160845,-714.171593658709
2032,12,0.01657028033159487,0.1692489570101911,0.02318508292622187,0.8033668857978893,2.523959572409693,3.53633077847559,-713.7450464379838
2033,12,0.01657028033159487,0.1705528670943975,0.023324295889263675,0.8035443046229859,2.523959572409693,3.537951320347935,-713.4185074952941
2034,12,0.01657028033159487,0.1714923661614416,0.0234239319028961,0.8037688965335339,2.523959572409693,3.5392150473391597,-713.1641158394929
2035,12,0.01657028033159487,0.17216929818893945,0.023495526568691572,0.8040255887746329,2.523959572409693,3.540220266273552,-712.9619249492425
